Season,WinPct,Playoffs
1976,0.143,FALSE
1977,0.357,FALSE
1978,0.563,FALSE
1979,0.563,FALSE
1980,0.25,FALSE
1981,0.375,FALSE
1982,0.444,FALSE
1983,0.563,TRUE
1984,0.75,TRUE
1985,0.5,FALSE
1986,0.625,FALSE
1987,0.6,TRUE
1988,0.563,TRUE
1989,0.438,FALSE
1990,0.563,FALSE
1991,0.438,FALSE
1992,0.125,FALSE
1993,0.375,FALSE
1994,0.375,FALSE
1995,0.5,FALSE
1996,0.438,FALSE
1997,0.5,FALSE
1998,0.5,FALSE
1999,0.563,TRUE
2000,0.375,FALSE
2001,0.563,FALSE
2002,0.438,FALSE
2003,0.625,TRUE
2004,0.563,TRUE
2005,0.813,TRUE
2006,0.563,TRUE
2007,0.625,TRUE
2008,0.25,FALSE
2009,0.313,FALSE
2010,0.438,TRUE
2011,0.438,FALSE
2012,0.688,TRUE
2013,0.813,TRUE
2014,0.75,TRUE
2015,0.625,TRUE
2016,0.656,TRUE
2017,0.563,FALSE
